row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20260424_CVOL_Group_02_1F12_1.mzML Peak height,20260424_CVOL_Group_02_1F12_2.mzML Peak height,20260424_CVOL_Group_02_1F12_3.mzML Peak height,20260424_CVOL_Group_02_1F12_4.mzML Peak height,20260424_CVOL_Group_02_Control_LB.mzML Peak height,20260424_CVOL_Group_02_Delta_phzC_1.mzML Peak height,20260424_CVOL_Group_02_Delta_phzC_2.mzML Peak height,20260424_CVOL_Group_02_Delta_phzC_3.mzML Peak height,20260424_CVOL_Group_02_Delta_phzC_4.mzML Peak height,20260424_CVOL_Group_02_Delta_pvdE_1.mzML Peak height,20260424_CVOL_Group_02_Delta_pvdE_2.mzML Peak height,20260424_CVOL_Group_02_Delta_pvdE_3.mzML Peak height,20260424_CVOL_Group_02_Delta_pvdE_4.mzML Peak height,20260424_CVOL_Group_02_QC_01.mzML Peak height,20260424_CVOL_Group_02_QC_02.mzML Peak height,20260424_CVOL_Group_02_QC_03.mzML Peak height,20260424_CVOL_Group_02_QC_04.mzML Peak height,20260424_CVOL_Group_02_QC_05.mzML Peak height,20260424_CVOL_Group_02_QC_06.mzML Peak height,20260424_CVOL_Group_02_R47_1.mzML Peak height,20260424_CVOL_Group_02_R47_2.mzML Peak height,20260424_CVOL_Group_02_R47_3.mzML Peak height,20260424_CVOL_Group_02_R47_4.mzML Peak height,20260424_CVOL_bk_mapp_03.mzML Peak height,
11,284.17167493762213,0.4763459,,,,,,,,,,,0,0,0,0,3596055.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,133.097238401664,0.48014143,,,,,,,,,,,0,0,0,0,1466809.0,4916158.0,3800501.5,5544606.5,0,0,0,0,0,2972611.0,4207509.5,4000666.5,4025934.0,3880521.2,3787854.8,8222262.5,6779723.0,6686824.5,4285353.0,0,
13,130.08637099574025,0.4821238,,,,,,,,,,,0,0,0,0,5.6608612E7,6992043.5,5374176.0,6176555.0,1813951.8,0,0,0,1278388.5,7809917.0,9394562.0,9150622.0,1.0146725E7,8663885.0,7355860.0,9358190.0,7732890.0,7085526.0,5656475.0,0,
14,147.1128141915441,0.4817332,,,,,,,,,,,1852192.0,0,0,0,1.3424384E8,1.7224134E7,1.2137568E7,1.496253E7,4346119.0,0,0,0,2821086.5,1.8060938E7,2.2785432E7,2.1798196E7,2.408858E7,2.0898058E7,1.7320546E7,2.258638E7,1.8515306E7,1.71448E7,1.3702874E7,0,
15,146.16523603823342,0.49871653,,,,,,,,,,,0,0,0,0,1.0562989E7,0,0,0,0,0,0,0,0,990241.1,0,950970.56,922754.8,0,0,0,0,0,0,0,
16,243.1087830878016,0.48608536,,,,,,,,,,,0,0,0,0,4164529.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,156.07677418402554,0.48667437,,,,,,,,,,,0,0,0,0,1.3298302E7,7401766.0,7121490.0,7250500.5,7372818.0,2565598.0,3030416.8,2108039.2,5630939.5,6238770.5,7583441.0,7869499.5,6661531.0,7485651.0,5886522.5,5978499.0,5956129.5,5774098.5,6142882.5,0,
18,177.06101756166018,0.49779123,,,,,,,,,,,0,0,0,0,1928041.1,9545161.0,7818700.5,1.2258949E7,0,0,0,0,0,7463977.0,6743249.0,7396846.0,7254303.5,6847612.0,6812285.5,1.6566162E7,1.2446878E7,1.3271481E7,9057139.0,0,
19,191.07669455884687,0.4976008,,,,,,,,,,,1241255.4,0,0,0,6.320601E7,1.2166544E7,9516805.0,1.177633E7,3189095.0,0,0,0,2231001.2,1.5025872E7,1.4582673E7,1.6226412E7,1.5412566E7,1.3238097E7,1.3335896E7,1.598484E7,1.2458397E7,1.2006153E7,9864250.0,0,
20,327.0514501100588,0.49764,,,,,,,,,,,0,0,0,0,4.5047564E7,9059077.0,7011758.5,8687470.0,2306767.8,0,0,0,1598706.6,1.1715323E7,1.0910614E7,1.2359773E7,1.1516697E7,1.1159139E7,1.1659123E7,1.1749017E7,9533682.0,9041344.0,7372387.5,0,
21,272.94440606567144,0.49295238,,,,,,,,,,,3179034.2,3600441.0,3840101.8,3397844.2,2629298.2,2333890.8,2088830.6,2163776.8,2943170.5,2824873.0,3892664.2,3210520.8,3265707.2,1763492.1,0,1344434.0,1520029.5,1365746.4,1496651.5,3084738.2,2528464.2,2401966.8,2649947.5,0,
22,313.03578126153155,0.4977603,,,,,,,,,,,0,0,0,0,1131073.6,6508743.0,5412092.0,8377003.5,0,0,0,0,0,5067276.5,4807046.5,5033815.5,4630809.5,5019501.5,5291477.5,1.0935918E7,8827320.0,8715790.0,6334647.0,0,
23,463.0264925362992,0.49927604,,,,,,,,,,,0,0,0,0,1.3162332E7,3444668.8,2893277.8,3383186.0,1080786.9,0,0,0,0,4226150.5,3909792.8,4526892.0,4347250.0,3860462.5,4390064.0,3878024.5,3806942.5,3123149.2,2766673.5,0,
24,531.0142161089032,0.49988887,,,,,,,,,,,0,0,0,0,1.4769786E7,4456251.5,3471255.5,4163449.8,1408525.8,0,0,0,0,5812527.0,4953350.5,5879478.5,5244659.5,4962154.5,5371385.5,4438125.5,4709646.5,3684109.0,3539888.0,0,
25,395.0390613098377,0.49774736,,,,,,,,,,,0,0,0,0,9399663.0,2381405.8,1881969.1,2168105.8,0,0,0,0,0,2881563.0,2822601.5,3133736.8,2543784.5,2590554.8,3176020.5,2855135.8,2459460.5,2074751.4,2008563.8,0,
26,702.8639916906537,0.50575536,,,,,,,,,,,2.8007402E7,2.9970696E7,3.4961384E7,3.0051964E7,4906384.0,2.4278706E7,2.2790832E7,2.2701146E7,2.9706234E7,2.6109294E7,2.824803E7,2.8523114E7,2.3984288E7,2.3089212E7,1.9008686E7,2.5101024E7,2.3749158E7,1.9664514E7,1.765944E7,1.5812598E7,2.117926E7,2.1030472E7,2.7263574E7,0,
27,634.8765488611072,0.5057547,,,,,,,,,,,2.5282534E7,2.6954408E7,3.3245376E7,2.7531864E7,5310506.0,2.3026962E7,2.1774892E7,2.1650672E7,2.8585018E7,2.3993834E7,2.661289E7,2.6573262E7,2.1726274E7,2.228151E7,1.770972E7,2.075547E7,1.9790022E7,1.8599488E7,1.6862058E7,1.5132554E7,2.0146396E7,1.7289358E7,2.6205986E7,0,
28,838.8388107758401,0.50704235,,,,,,,,,,,2.0234438E7,2.4574498E7,2.7314022E7,2.4852002E7,2447933.5,1.663096E7,1.7747916E7,1.620474E7,2.151131E7,2.254518E7,2.087825E7,2.176186E7,1.6594285E7,1.6124289E7,1.2994417E7,1.754207E7,1.6533336E7,1.4316524E7,1.2063567E7,1.0269966E7,1.4735202E7,1.395424E7,1.9710662E7,0,
29,355.05775502701056,0.49815598,,,,,,,,,,,0,0,0,0,1.1844427E7,0,0,0,0,0,0,0,0,1392744.4,1380768.4,1548677.0,1623053.5,1327972.8,1526966.0,0,0,0,0,0,
30,770.8514881611088,0.50575536,,,,,,,,,,,2.3381694E7,2.5544492E7,2.9904524E7,2.4118146E7,3245682.2,1.9544526E7,1.827992E7,1.8345122E7,2.50321E7,2.1554236E7,2.3431756E7,2.3515482E7,1.967544E7,1.8772072E7,1.5055356E7,1.9502814E7,1.9678808E7,1.662538E7,1.3637589E7,1.2400806E7,1.7121946E7,1.6639617E7,2.304447E7,0,
31,566.8890421672925,0.5057547,,,,,,,,,,,2.728694E7,2.8617948E7,2.8938754E7,2.9512206E7,7491994.0,2.2876674E7,2.431797E7,2.3855692E7,2.7754638E7,2.5438472E7,2.8574502E7,2.8111926E7,2.3455948E7,2.4423894E7,2.0513558E7,2.3064704E7,2.2738132E7,2.0683756E7,1.9725046E7,1.6081118E7,2.0996346E7,1.9892938E7,2.359747E7,0,
32,200.04068041081996,0.50636095,,,,,,,,,,,0,0,0,0,5832310.5,5521893.0,5044151.5,5167881.0,5619088.0,2157465.5,2219674.8,1584208.0,3816930.8,4519210.5,4764661.5,4641550.5,4671425.0,4439979.5,4804442.0,4124011.2,4351224.5,4107202.5,4559001.5,0,
33,430.9139034273545,0.5066219,,,,,,,,,,,4.5673244E7,4.5548772E7,4.7735264E7,4.8144652E7,1.831121E7,3.9896084E7,4.0453604E7,4.138343E7,4.64634E7,4.2504544E7,4.5558724E7,4.550344E7,3.838831E7,4.323531E7,3.704383E7,4.1659876E7,4.1611816E7,3.6487212E7,3.6209588E7,2.9908174E7,3.7421824E7,3.6808212E7,4.0830496E7,0,
34,498.9014650714035,0.5066219,,,,,,,,,,,2.9403224E7,2.9345306E7,3.1223992E7,3.1696136E7,9415737.0,2.57099E7,2.5859728E7,2.5598084E7,3.0801146E7,2.7664394E7,2.9732454E7,2.9461054E7,2.4565982E7,2.6788248E7,2.2672036E7,2.5843006E7,2.5037086E7,2.2455594E7,2.2069412E7,1.8618218E7,2.3526738E7,2.2928152E7,2.6109096E7,0,
35,362.92632229655504,0.50792646,,,,,,,,,,,3.2687422E7,3.1670172E7,3.442343E7,3.4095756E7,1.4941147E7,2.9361654E7,2.8398632E7,2.8550376E7,3.3741836E7,3.0072356E7,3.1825484E7,3.1613922E7,2.8724332E7,3.1003166E7,2.6529972E7,3.0944518E7,3.0144728E7,2.6648442E7,2.6606776E7,2.170097E7,2.6739934E7,2.6491238E7,2.9304302E7,0,
36,294.93891507934114,0.5092804,,,,,,,,,,,7650799.0,7145908.0,7941179.0,7465393.5,3801777.0,6778934.0,6693382.0,6280791.5,7876942.5,7205189.5,7410664.5,7519724.0,7087707.0,7072499.5,6374150.0,7827261.0,6933094.0,6207873.5,6376680.5,4847817.5,6663484.5,6447028.0,7057901.5,0,
37,446.88780032734866,0.5110945,,,,,,,,,,,7721135.0,8557513.0,9270557.0,9382639.0,3674038.0,7863273.5,8498746.0,9180187.0,9796894.0,8060843.0,9717789.0,9113465.0,7764687.5,7530997.5,7724051.5,7319502.0,6032040.5,6339490.0,5293354.5,5844547.0,7523318.5,7209565.5,7973347.0,0,
38,378.90030931476514,0.5110945,,,,,,,,,,,7329221.5,6992765.5,7167335.0,7325956.5,2911224.2,6483829.0,6712951.0,7346466.0,7291096.5,6212728.0,7709210.0,7191276.5,6442471.0,5659079.0,6010103.5,5577347.5,4776685.5,4821062.5,4652820.0,4744672.0,6123865.5,5889961.5,6757728.5,0,
39,158.96409318271952,0.51022375,,,,,,,,,,,2.240043E7,2.0471276E7,2.2423146E7,2.0930652E7,1.3403143E7,1.9941604E7,1.9758428E7,1.8909044E7,2.216555E7,2.1167968E7,2.054986E7,2.1279686E7,2.0964378E7,2.0307586E7,2.0530208E7,2.2330492E7,2.0003906E7,1.936243E7,1.9196868E7,1.5092934E7,1.9071306E7,1.9097318E7,2.080839E7,0,
40,169.09472218586316,0.4938162,,,,,,,,,,,0,0,0,0,2.6055686E7,3984441.5,2698337.8,3514582.2,0,0,0,0,0,4349595.0,5865501.5,5161909.0,4703252.5,4749332.5,4156897.2,6308165.0,4087201.2,2028390.0,3336368.5,0,
41,242.9254407080836,0.5134906,,,,,,,,,,,1.7054636E7,1.8145996E7,1.8921448E7,1.9254744E7,9101389.0,1.6554311E7,1.7373378E7,1.7109222E7,1.9692282E7,1.7024822E7,1.8771814E7,1.8902952E7,1.748517E7,1.3523045E7,1.3481008E7,1.4937434E7,1.3727305E7,1.308898E7,1.2124041E7,1.2660028E7,1.5449165E7,1.5226081E7,1.7531636E7,0,
42,420.884996672715,0.5244657,,,,,,,,,,,1.1944507E7,1.181121E7,1.1863006E7,1.2042531E7,4875794.5,9978736.0,1.0763692E7,1.2005529E7,1.2445715E7,1.2020133E7,1.2900727E7,8368716.0,8517791.0,1.0283042E7,1.138981E7,8405340.0,9754482.0,7924455.0,1.1059378E7,7474601.0,7592305.5,7911941.5,1.0070674E7,0,
43,269.99376726398594,0.52437675,,,,,,,,,,,0,0,0,0,7613537.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44,352.89748711646627,0.5265874,,,,,,,,,,,7120683.0,7051562.0,8003199.0,1.0324321E7,4130893.5,7052084.5,5996089.0,6955521.5,8342396.5,1.0075506E7,7480408.5,7011518.5,8661569.0,6106159.5,9253108.0,8946669.0,8473030.0,8284167.5,8824931.0,6820804.5,6770161.5,7412247.0,7156259.0,0,
45,219.0828527154064,0.5277343,,,,,,,,,,,0,0,0,0,2.6167358E7,0,0,0,0,0,0,0,0,5330318.0,5113398.0,6815053.0,4723962.5,6139630.0,5595319.0,0,0,0,0,0,
46,134.01889004090899,0.55902845,,,,,,,,,,,0,0,0,0,7470834.0,0,0,0,0,0,0,0,0,1006107.75,1050377.1,1052253.8,1131754.6,1096497.5,1044977.56,0,0,0,0,0,
47,216.92275330882677,0.53482497,,,,,,,,,,,2.9732754E7,2.8923808E7,2.968346E7,3.0847288E7,1.4697173E7,2.2117582E7,2.3395454E7,2.7364402E7,2.7000762E7,2.771343E7,2.772523E7,2.7300828E7,2.546206E7,2.6152424E7,2.5776552E7,3.0941124E7,2.7345056E7,2.8614584E7,2.602656E7,2.1612684E7,2.3637734E7,2.5570706E7,2.4546112E7,0,
48,218.91974116491636,0.53440833,,,,,,,,,,,9665843.0,1.0616209E7,8933738.0,1.0045083E7,5920526.0,7546698.0,7358223.0,9022823.0,8727701.0,9096683.0,8951601.0,9545646.0,9510001.0,9122315.0,8676589.0,1.0602366E7,9104910.0,1.0205523E7,8550662.0,7015794.5,7647606.0,8214780.5,8467107.0,0,
49,232.89659784154114,0.53440833,,,,,,,,,,,7365721.0,8527246.0,7521928.0,7663824.5,4142469.8,5773716.0,6470071.0,7186421.0,6775482.0,6928003.5,7295222.5,7519482.5,7750268.0,6042377.0,5253643.0,6465809.0,5226869.0,6356782.5,5568543.0,5354547.5,6105887.5,6180112.5,6661742.0,0,
50,197.1009644143606,0.54361516,,,,,,,,,,,0,0,0,0,2.0896274E7,0,0,0,0,0,0,0,0,3522637.5,3746326.2,3842623.0,3405173.8,4123510.0,3323896.0,0,0,0,0,0,
51,336.1616582145926,0.5422289,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,4360944.5,5277475.5,6600999.0,4323876.0,6009708.0,4772219.0,0,0,0,0,0,
52,400.8273509337461,0.5420952,,,,,,,,,,,4748128.5,4885562.5,5300145.5,4775182.0,1433025.0,3519399.8,3582148.2,4163136.5,4359528.5,4883479.5,4040994.8,5025459.0,3763551.5,4226058.0,4262128.5,0,4243242.5,4294363.5,3801011.0,3622478.5,4212957.5,4134533.0,4300158.5,0,
53,402.8242980880225,0.54167515,,,,,,,,,,,4398720.0,4680164.5,4984072.0,4885381.5,1413564.6,3539868.5,3318746.5,3976556.8,4503789.5,4443331.0,3806662.5,4439943.0,3788040.5,4056487.5,4204399.5,0,4023872.8,4282547.0,3702673.5,3661959.0,3624643.5,3949866.0,3974491.2,0,
54,140.0681752098373,0.54990494,,,,,,,,,,,6.81273E7,6.4893524E7,5.0794292E7,5.9787868E7,1.5085404E7,4.9658304E7,5.350793E7,6.218087E7,5.735093E7,5.060811E7,5.1576184E7,5.2426076E7,5.0962E7,7.835452E7,8.194526E7,8.9889384E7,8.469098E7,8.2102776E7,7.9229336E7,5.4542788E7,5.8649636E7,5.8640932E7,5.7761136E7,0,
55,156.0421065857989,0.55026835,,,,,,,,,,,3.5788544E7,3.411961E7,2.538556E7,3.5733772E7,3891090.8,2.1254728E7,2.2046906E7,2.5923078E7,2.8140772E7,2.6765728E7,2.7084504E7,2.6525174E7,2.423616E7,2.7175406E7,2.7981028E7,2.9717806E7,2.9522214E7,2.9181106E7,2.794871E7,2.1562604E7,2.6821848E7,2.5695896E7,2.5930298E7,0,
56,206.89394197888438,0.551487,,,,,,,,,,,9185700.0,8970201.0,8958358.0,9830623.0,4539323.0,7045831.0,7389871.0,8417708.0,8626853.0,8068277.5,8210550.0,7761799.5,7113192.0,8489866.0,9771289.0,9208676.0,9511912.0,8907354.0,8223693.0,7250911.5,7960775.0,7505658.0,7951489.0,0,
57,208.89097607068533,0.55139387,,,,,,,,,,,6073279.5,5841021.0,5847123.0,6390841.0,2846665.0,4603534.0,4939821.5,5350297.5,5691805.0,5400877.5,5426423.5,5563484.5,4741723.5,5518383.5,6376681.5,6118779.0,6227726.0,5926409.5,5527563.0,4730234.0,5189712.0,4849868.5,5194742.5,0,
58,280.0921463099009,0.55193275,,,,,,,,,,,0,0,0,0,4.415682E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
59,296.0659617687759,0.55193275,,,,,,,,,,,0,0,0,0,7410460.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
60,392.7954890244878,0.55107653,,,,,,,,,,,4394628.0,4393263.0,4357427.0,4483403.0,1630202.8,3231014.0,3477915.5,3989575.8,3790353.2,4011935.2,4107222.8,3820743.2,3313053.5,4111803.2,4359197.0,4029116.5,4188389.5,4000140.0,3663635.8,3254447.5,3600558.0,3361075.5,3902692.0,0,
61,264.8524725833098,0.5539326,,,,,,,,,,,4139010.8,3912715.8,3669410.0,4112274.5,1670627.1,2826273.8,3163066.2,3339077.2,3451024.8,3785894.8,3522566.5,3325208.8,2964152.0,3336310.5,3676549.2,3409894.5,3837528.5,3507828.0,3252734.2,2908900.5,3113592.0,3030027.8,3240602.5,0,
62,266.8495071095466,0.5552273,,,,,,,,,,,4005661.2,3675748.0,3651382.5,3960289.0,1702240.1,2904515.5,3021748.5,3273476.8,3534628.5,3695146.5,3336629.0,3139986.0,2828423.2,3248824.0,3501848.2,3515467.0,3801511.5,3355886.8,3192043.5,2761744.8,3081421.5,2979199.5,3089346.8,0,
63,382.7667760851822,0.5591856,,,,,,,,,,,3637953.0,3733125.5,3569512.8,3872602.8,957557.25,2476126.2,2889632.8,2925481.0,2882567.2,3402177.2,3417180.5,2732541.8,2610345.0,2540718.2,2643045.5,2477272.8,2580421.5,2509814.8,2359940.5,2506922.2,2758044.8,2730567.2,3113141.8,0,
64,292.19784221802763,0.56170434,,,,,,,,,,,0,0,0,0,1.9884838E7,0,0,0,0,0,0,0,0,1.2090716E7,1.3914919E7,1.4308224E7,1.3346941E7,1.3969624E7,1.3500598E7,0,0,0,0,0,
65,164.93001168001598,0.56502587,,,,,,,,,,,8280387.0,7810848.5,8612450.0,8289002.5,7633966.0,1.0023061E7,1.0036624E7,1.0367041E7,1.0524131E7,1.028861E7,1.0504526E7,1.0143099E7,1.0463559E7,1.1079315E7,1.2435878E7,1.3633832E7,1.2821876E7,1.3076897E7,1.1749387E7,9675368.0,9498345.0,1.0188418E7,9953215.0,0,
66,198.86218659604603,0.57201105,,,,,,,,,,,4214224.5,4247190.0,4653561.0,4964760.0,1659938.9,3504531.2,3949592.8,3831936.5,3765061.2,3938634.8,4233211.0,3827313.0,3827001.2,2694032.0,2812184.8,2829953.5,2833028.5,2808748.5,2486751.0,3514486.8,3662280.5,3979891.0,3649025.8,0,
67,196.8651559709163,0.5720372,,,,,,,,,,,4354703.5,4393656.0,4833705.0,5071732.0,1661983.6,3581951.0,4014725.8,3865576.0,3824751.2,4061505.8,4303273.5,3899591.5,3827725.2,2733783.5,2915063.5,2921608.8,2874735.0,2838926.2,2655960.2,3643329.0,3679166.8,4115286.2,3736103.2,0,
68,257.14708557133,0.5519475,,,,,,,,,,,6056968.5,5780435.5,0,3294680.0,0,3828630.5,5018876.0,6723526.0,5096488.5,3291926.5,3156970.5,4599387.5,4131258.2,1.5427148E7,1.9107918E7,1.9490154E7,1.7798702E7,1.7930866E7,1.5837358E7,5065327.5,5822989.0,6058354.0,5907245.5,0,
69,254.82375115395925,0.5760857,,,,,,,,,,,6994805.5,7144674.5,8366035.0,8778515.0,2454029.8,5968375.0,6764787.5,6571851.0,6293735.5,6488654.5,6977651.0,6674436.0,6667991.5,3520329.0,3849189.2,4064063.2,4016188.2,3725049.8,3668770.2,6121232.0,6311931.0,6826696.0,6166903.5,0,
70,256.82077127348543,0.5765112,,,,,,,,,,,9225313.0,9596356.0,1.0971258E7,1.1393938E7,3199425.5,7765876.5,8721830.0,8622415.0,7930593.5,8523576.0,9123356.0,8887696.0,8687952.0,4946979.0,5045707.0,5162566.5,4975124.5,4748042.5,4442716.0,8085741.5,8067428.5,8870760.0,8088881.0,0,
71,258.8178279844113,0.5784433,,,,,,,,,,,4458610.0,4614009.5,5311274.5,5570569.0,1496044.8,3724359.2,4370976.5,4163431.5,3969595.8,4091768.0,4500053.5,4252675.0,4375324.0,2424118.5,2507079.0,2501611.5,2417901.0,2270879.2,2195194.2,3893866.8,3974089.2,4323899.5,4072164.8,0,
72,271.96484059771865,0.5831586,,,,,,,,,,,0,0,0,0,5349251.5,0,0,0,0,0,0,0,0,1142023.1,1037612.25,1053325.5,1095294.0,1036271.06,999107.8,0,0,0,0,0,
73,381.07935324561373,0.58053184,,,,,,,,,,,971303.4,1036522.9,961362.75,1115005.2,2069079.6,1872705.6,1908868.4,1849210.8,0,1898367.6,2064025.2,1967422.4,1998717.4,3348146.8,3412110.8,3316544.8,3398284.2,3261743.5,3089907.8,1847652.1,1773967.8,2228793.5,1951636.8,0,
74,164.02942322599196,0.583952,,,,,,,,,,,5727169.5,2633938.0,2406994.8,1336164.1,6320659.5,1.0656546E7,1.100351E7,1.0461904E7,1.0785733E7,9983708.0,1.0485284E7,1.0140708E7,1.0675494E7,1.0941049E7,1.119329E7,1.1725434E7,1.1027907E7,1.0989002E7,9970596.0,1.0461327E7,1.0321225E7,1.1231898E7,1.025957E7,0,
75,314.7792814078909,0.58602744,,,,,,,,,,,3894160.0,4011117.5,4641840.5,4720389.5,1188686.8,3180891.0,3650977.8,3440593.5,3168576.0,3470718.0,3669879.5,3606955.2,3710429.5,1574941.5,1494843.9,1704288.6,1750077.4,1665958.0,1464030.8,3237432.5,3054596.0,3645569.0,3453525.5,0,
76,430.69669606813886,0.5885492,,,,,,,,,,,4411794.5,4345957.0,5301729.0,5144843.5,1173941.0,3430975.8,3771237.5,3818414.0,3290133.0,3831446.2,3847109.8,3794242.0,4011715.0,1530852.0,1348835.6,1431288.9,1343714.8,1449128.5,1192903.4,3504723.5,3412383.5,3859741.5,3632275.8,0,
77,432.6937439146542,0.58852637,,,,,,,,,,,4304591.0,4086402.5,4983161.5,5026740.0,1158594.2,3371765.8,3696731.2,3577816.8,3150406.8,3632183.5,3793693.5,3590116.5,3921551.8,1361102.8,1394343.9,1359246.9,1332814.1,1396395.8,1181025.0,3417204.5,3397125.8,3767385.8,3423577.5,0,
78,374.7350623307906,0.5877229,,,,,,,,,,,3872971.0,3886828.8,4576327.0,4452553.5,930642.0,3032696.8,3421103.5,3294565.0,3049132.5,3401979.8,3464624.5,3488493.2,3606673.5,1331455.5,1263620.4,1279707.9,1368810.0,1589165.9,1170370.0,3123799.8,2996923.8,3299078.0,3175812.5,0,
79,177.0245180887142,0.58911794,,,,,,,,,,,0,0,0,0,5548492.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
80,372.7380143418521,0.59126514,,,,,,,,,,,4748936.0,4691542.5,5679202.0,5574740.5,1179441.2,3712265.8,4268955.5,4137339.0,3591170.8,4317641.5,4455439.5,4384375.0,4356117.0,1722268.6,1690337.0,1640952.6,0,1981756.8,1523370.4,3914569.5,3908809.2,4312327.0,4064606.0,0,
81,214.00631546461122,0.58990985,,,,,,,,,,,0,0,0,0,7470306.0,0,0,0,0,0,0,0,0,1334045.2,1452835.0,1390182.4,1427154.6,1279575.6,1337909.5,0,0,0,0,0,
82,210.01719519122528,0.5918631,,,,,,,,,,,3339293.8,3097351.0,3395511.8,3396594.2,2549936.5,3352382.0,3576394.5,3488197.2,3367601.0,3536503.0,3703988.0,3542106.0,3507354.2,4709971.0,5008808.5,4625893.0,4688813.0,4721892.0,4185564.0,3383209.0,3206009.8,3602185.2,3330658.8,0,
83,203.05270345297697,0.5926969,,,,,,,,,,,8675455.0,8377866.5,9528200.0,8121328.0,1.4811968E7,6549256.5,6817696.0,7153592.5,6288002.0,6780298.5,6837322.0,6725235.5,6775980.5,1.1914752E7,1.1749896E7,1.118643E7,1.2228923E7,1.1674137E7,9940456.0,6823605.5,6380112.5,7223324.5,6397355.5,0,
84,133.09722184671745,0.597399,,,,,,,,,,,0,0,0,0,0,2453676.2,2195431.5,3319876.5,0,0,0,0,0,1719851.2,1478053.0,1559640.6,1598212.4,1499225.2,1343534.1,5355333.5,3259105.2,3514718.8,2148325.8,0,
