row ID,row m/z,row retention time,intensity_measure,ion_mobility,ion_mobility_unit,ccs,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20260424_CVOL_Group_02_1F12_1.mzML Peak area,20260424_CVOL_Group_02_1F12_2.mzML Peak area,20260424_CVOL_Group_02_1F12_3.mzML Peak area,20260424_CVOL_Group_02_1F12_4.mzML Peak area,20260424_CVOL_Group_02_Control_LB.mzML Peak area,20260424_CVOL_Group_02_Delta_phzC_1.mzML Peak area,20260424_CVOL_Group_02_Delta_phzC_2.mzML Peak area,20260424_CVOL_Group_02_Delta_phzC_3.mzML Peak area,20260424_CVOL_Group_02_Delta_phzC_4.mzML Peak area,20260424_CVOL_Group_02_Delta_pvdE_1.mzML Peak area,20260424_CVOL_Group_02_Delta_pvdE_2.mzML Peak area,20260424_CVOL_Group_02_Delta_pvdE_3.mzML Peak area,20260424_CVOL_Group_02_Delta_pvdE_4.mzML Peak area,20260424_CVOL_Group_02_QC_01.mzML Peak area,20260424_CVOL_Group_02_QC_02.mzML Peak area,20260424_CVOL_Group_02_QC_03.mzML Peak area,20260424_CVOL_Group_02_QC_04.mzML Peak area,20260424_CVOL_Group_02_QC_05.mzML Peak area,20260424_CVOL_Group_02_QC_06.mzML Peak area,20260424_CVOL_Group_02_R47_1.mzML Peak area,20260424_CVOL_Group_02_R47_2.mzML Peak area,20260424_CVOL_Group_02_R47_3.mzML Peak area,20260424_CVOL_Group_02_R47_4.mzML Peak area,20260424_CVOL_bk_mapp_03.mzML Peak area,Unnamed: 37
21,272.94440606567144,0.49295238,height,,,,,,,,,,,3179034.2,3600441.0,3840101.8,3397844.2,2629298.2,2333890.8,2088830.6,2163776.8,2943170.5,2824873.0,3892664.2,3210520.8,3265707.2,1763492.1,0.0,1344434.0,1520029.5,1365746.4,1496651.5,3084738.2,2528464.2,2401966.8,2649947.5,0.0,
22,313.03578126153155,0.4977603,height,,,,,,,,,,,0.0,0.0,0.0,0.0,1131073.6,6508743.0,5412092.0,8377003.5,0.0,0.0,0.0,0.0,0.0,5067276.5,4807046.5,5033815.5,4630809.5,5019501.5,5291477.5,10935918.0,8827320.0,8715790.0,6334647.0,0.0,
23,463.0264925362992,0.49927604,height,,,,,,,,,,,0.0,0.0,0.0,0.0,13162332.0,3444668.8,2893277.8,3383186.0,1080786.9,0.0,0.0,0.0,0.0,4226150.5,3909792.8,4526892.0,4347250.0,3860462.5,4390064.0,3878024.5,3806942.5,3123149.2,2766673.5,0.0,
24,531.0142161089032,0.49988887,height,,,,,,,,,,,0.0,0.0,0.0,0.0,14769786.0,4456251.5,3471255.5,4163449.8,1408525.8,0.0,0.0,0.0,0.0,5812527.0,4953350.5,5879478.5,5244659.5,4962154.5,5371385.5,4438125.5,4709646.5,3684109.0,3539888.0,0.0,
25,395.0390613098377,0.49774736,height,,,,,,,,,,,0.0,0.0,0.0,0.0,9399663.0,2381405.8,1881969.1,2168105.8,0.0,0.0,0.0,0.0,0.0,2881563.0,2822601.5,3133736.8,2543784.5,2590554.8,3176020.5,2855135.8,2459460.5,2074751.4,2008563.8,0.0,
26,702.8639916906537,0.50575536,height,,,,,,,,,,,28007402.0,29970696.0,34961384.0,30051964.0,4906384.0,24278706.0,22790832.0,22701146.0,29706234.0,26109294.0,28248030.0,28523114.0,23984288.0,23089212.0,19008686.0,25101024.0,23749158.0,19664514.0,17659440.0,15812598.0,21179260.0,21030472.0,27263574.0,0.0,
27,634.8765488611072,0.5057547,height,,,,,,,,,,,25282534.0,26954408.0,33245376.0,27531864.0,5310506.0,23026962.0,21774892.0,21650672.0,28585018.0,23993834.0,26612890.0,26573262.0,21726274.0,22281510.0,17709720.0,20755470.0,19790022.0,18599488.0,16862058.0,15132554.0,20146396.0,17289358.0,26205986.0,0.0,
28,838.8388107758401,0.50704235,height,,,,,,,,,,,20234438.0,24574498.0,27314022.0,24852002.0,2447933.5,16630960.0,17747916.0,16204740.0,21511310.0,22545180.0,20878250.0,21761860.0,16594285.0,16124289.0,12994417.0,17542070.0,16533336.0,14316524.0,12063567.0,10269966.0,14735202.0,13954240.0,19710662.0,0.0,
29,355.05775502701056,0.49815598,height,,,,,,,,,,,0.0,0.0,0.0,0.0,11844427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1392744.4,1380768.4,1548677.0,1623053.5,1327972.8,1526966.0,0.0,0.0,0.0,0.0,0.0,
30,770.8514881611088,0.50575536,height,,,,,,,,,,,23381694.0,25544492.0,29904524.0,24118146.0,3245682.2,19544526.0,18279920.0,18345122.0,25032100.0,21554236.0,23431756.0,23515482.0,19675440.0,18772072.0,15055356.0,19502814.0,19678808.0,16625380.0,13637589.0,12400806.0,17121946.0,16639617.0,23044470.0,0.0,
31,566.8890421672925,0.5057547,height,,,,,,,,,,,27286940.0,28617948.0,28938754.0,29512206.0,7491994.0,22876674.0,24317970.0,23855692.0,27754638.0,25438472.0,28574502.0,28111926.0,23455948.0,24423894.0,20513558.0,23064704.0,22738132.0,20683756.0,19725046.0,16081118.0,20996346.0,19892938.0,23597470.0,0.0,
32,200.04068041082,0.50636095,height,,,,,,,,,,,0.0,0.0,0.0,0.0,5832310.5,5521893.0,5044151.5,5167881.0,5619088.0,2157465.5,2219674.8,1584208.0,3816930.8,4519210.5,4764661.5,4641550.5,4671425.0,4439979.5,4804442.0,4124011.2,4351224.5,4107202.5,4559001.5,0.0,
33,430.9139034273545,0.5066219,height,,,,,,,,,,,45673244.0,45548772.0,47735264.0,48144652.0,18311210.0,39896084.0,40453604.0,41383430.0,46463400.0,42504544.0,45558724.0,45503440.0,38388310.0,43235310.0,37043830.0,41659876.0,41611816.0,36487212.0,36209588.0,29908174.0,37421824.0,36808212.0,40830496.0,0.0,
34,498.9014650714035,0.5066219,height,,,,,,,,,,,29403224.0,29345306.0,31223992.0,31696136.0,9415737.0,25709900.0,25859728.0,25598084.0,30801146.0,27664394.0,29732454.0,29461054.0,24565982.0,26788248.0,22672036.0,25843006.0,25037086.0,22455594.0,22069412.0,18618218.0,23526738.0,22928152.0,26109096.0,0.0,
35,362.92632229655504,0.50792646,height,,,,,,,,,,,32687422.0,31670172.0,34423430.0,34095756.0,14941147.0,29361654.0,28398632.0,28550376.0,33741836.0,30072356.0,31825484.0,31613922.0,28724332.0,31003166.0,26529972.0,30944518.0,30144728.0,26648442.0,26606776.0,21700970.0,26739934.0,26491238.0,29304302.0,0.0,
36,294.93891507934114,0.5092804,height,,,,,,,,,,,7650799.0,7145908.0,7941179.0,7465393.5,3801777.0,6778934.0,6693382.0,6280791.5,7876942.5,7205189.5,7410664.5,7519724.0,7087707.0,7072499.5,6374150.0,7827261.0,6933094.0,6207873.5,6376680.5,4847817.5,6663484.5,6447028.0,7057901.5,0.0,
37,446.8878003273487,0.5110945,height,,,,,,,,,,,7721135.0,8557513.0,9270557.0,9382639.0,3674038.0,7863273.5,8498746.0,9180187.0,9796894.0,8060843.0,9717789.0,9113465.0,7764687.5,7530997.5,7724051.5,7319502.0,6032040.5,6339490.0,5293354.5,5844547.0,7523318.5,7209565.5,7973347.0,0.0,
38,378.90030931476514,0.5110945,height,,,,,,,,,,,7329221.5,6992765.5,7167335.0,7325956.5,2911224.2,6483829.0,6712951.0,7346466.0,7291096.5,6212728.0,7709210.0,7191276.5,6442471.0,5659079.0,6010103.5,5577347.5,4776685.5,4821062.5,4652820.0,4744672.0,6123865.5,5889961.5,6757728.5,0.0,
39,158.96409318271952,0.51022375,height,,,,,,,,,,,22400430.0,20471276.0,22423146.0,20930652.0,13403143.0,19941604.0,19758428.0,18909044.0,22165550.0,21167968.0,20549860.0,21279686.0,20964378.0,20307586.0,20530208.0,22330492.0,20003906.0,19362430.0,19196868.0,15092934.0,19071306.0,19097318.0,20808390.0,0.0,
40,169.09472218586316,0.4938162,height,,,,,,,,,,,0.0,0.0,0.0,0.0,26055686.0,3984441.5,2698337.8,3514582.2,0.0,0.0,0.0,0.0,0.0,4349595.0,5865501.5,5161909.0,4703252.5,4749332.5,4156897.2,6308165.0,4087201.2,2028390.0,3336368.5,0.0,
41,242.9254407080836,0.5134906,height,,,,,,,,,,,17054636.0,18145996.0,18921448.0,19254744.0,9101389.0,16554311.0,17373378.0,17109222.0,19692282.0,17024822.0,18771814.0,18902952.0,17485170.0,13523045.0,13481008.0,14937434.0,13727305.0,13088980.0,12124041.0,12660028.0,15449165.0,15226081.0,17531636.0,0.0,
42,420.884996672715,0.5244657,height,,,,,,,,,,,11944507.0,11811210.0,11863006.0,12042531.0,4875794.5,9978736.0,10763692.0,12005529.0,12445715.0,12020133.0,12900727.0,8368716.0,8517791.0,10283042.0,11389810.0,8405340.0,9754482.0,7924455.0,11059378.0,7474601.0,7592305.5,7911941.5,10070674.0,0.0,
43,269.99376726398594,0.52437675,height,,,,,,,,,,,0.0,0.0,0.0,0.0,7613537.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
44,352.89748711646627,0.5265874,height,,,,,,,,,,,7120683.0,7051562.0,8003199.0,10324321.0,4130893.5,7052084.5,5996089.0,6955521.5,8342396.5,10075506.0,7480408.5,7011518.5,8661569.0,6106159.5,9253108.0,8946669.0,8473030.0,8284167.5,8824931.0,6820804.5,6770161.5,7412247.0,7156259.0,0.0,
45,219.0828527154064,0.5277343,height,,,,,,,,,,,0.0,0.0,0.0,0.0,26167358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5330318.0,5113398.0,6815053.0,4723962.5,6139630.0,5595319.0,0.0,0.0,0.0,0.0,0.0,
46,134.018890040909,0.55902845,height,,,,,,,,,,,0.0,0.0,0.0,0.0,7470834.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1006107.75,1050377.1,1052253.8,1131754.6,1096497.5,1044977.56,0.0,0.0,0.0,0.0,0.0,
47,216.9227533088268,0.53482497,height,,,,,,,,,,,29732754.0,28923808.0,29683460.0,30847288.0,14697173.0,22117582.0,23395454.0,27364402.0,27000762.0,27713430.0,27725230.0,27300828.0,25462060.0,26152424.0,25776552.0,30941124.0,27345056.0,28614584.0,26026560.0,21612684.0,23637734.0,25570706.0,24546112.0,0.0,
48,218.9197411649164,0.53440833,height,,,,,,,,,,,9665843.0,10616209.0,8933738.0,10045083.0,5920526.0,7546698.0,7358223.0,9022823.0,8727701.0,9096683.0,8951601.0,9545646.0,9510001.0,9122315.0,8676589.0,10602366.0,9104910.0,10205523.0,8550662.0,7015794.5,7647606.0,8214780.5,8467107.0,0.0,
49,232.89659784154117,0.53440833,height,,,,,,,,,,,7365721.0,8527246.0,7521928.0,7663824.5,4142469.8,5773716.0,6470071.0,7186421.0,6775482.0,6928003.5,7295222.5,7519482.5,7750268.0,6042377.0,5253643.0,6465809.0,5226869.0,6356782.5,5568543.0,5354547.5,6105887.5,6180112.5,6661742.0,0.0,
50,197.1009644143606,0.54361516,height,,,,,,,,,,,0.0,0.0,0.0,0.0,20896274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3522637.5,3746326.2,3842623.0,3405173.8,4123510.0,3323896.0,0.0,0.0,0.0,0.0,0.0,
51,336.1616582145926,0.5422289,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4360944.5,5277475.5,6600999.0,4323876.0,6009708.0,4772219.0,0.0,0.0,0.0,0.0,0.0,
52,400.8273509337461,0.5420952,height,,,,,,,,,,,4748128.5,4885562.5,5300145.5,4775182.0,1433025.0,3519399.8,3582148.2,4163136.5,4359528.5,4883479.5,4040994.8,5025459.0,3763551.5,4226058.0,4262128.5,0.0,4243242.5,4294363.5,3801011.0,3622478.5,4212957.5,4134533.0,4300158.5,0.0,
53,402.8242980880225,0.54167515,height,,,,,,,,,,,4398720.0,4680164.5,4984072.0,4885381.5,1413564.6,3539868.5,3318746.5,3976556.8,4503789.5,4443331.0,3806662.5,4439943.0,3788040.5,4056487.5,4204399.5,0.0,4023872.8,4282547.0,3702673.5,3661959.0,3624643.5,3949866.0,3974491.2,0.0,
54,140.0681752098373,0.54990494,height,,,,,,,,,,,68127300.0,64893524.0,50794292.0,59787868.0,15085404.0,49658304.0,53507930.0,62180870.0,57350930.0,50608110.0,51576184.0,52426076.0,50962000.0,78354520.0,81945260.0,89889384.0,84690980.0,82102776.0,79229336.0,54542788.0,58649636.0,58640932.0,57761136.0,0.0,
55,156.0421065857989,0.55026835,height,,,,,,,,,,,35788544.0,34119610.0,25385560.0,35733772.0,3891090.8,21254728.0,22046906.0,25923078.0,28140772.0,26765728.0,27084504.0,26525174.0,24236160.0,27175406.0,27981028.0,29717806.0,29522214.0,29181106.0,27948710.0,21562604.0,26821848.0,25695896.0,25930298.0,0.0,
56,206.8939419788844,0.551487,height,,,,,,,,,,,9185700.0,8970201.0,8958358.0,9830623.0,4539323.0,7045831.0,7389871.0,8417708.0,8626853.0,8068277.5,8210550.0,7761799.5,7113192.0,8489866.0,9771289.0,9208676.0,9511912.0,8907354.0,8223693.0,7250911.5,7960775.0,7505658.0,7951489.0,0.0,
57,208.89097607068533,0.55139387,height,,,,,,,,,,,6073279.5,5841021.0,5847123.0,6390841.0,2846665.0,4603534.0,4939821.5,5350297.5,5691805.0,5400877.5,5426423.5,5563484.5,4741723.5,5518383.5,6376681.5,6118779.0,6227726.0,5926409.5,5527563.0,4730234.0,5189712.0,4849868.5,5194742.5,0.0,
58,280.0921463099009,0.55193275,height,,,,,,,,,,,0.0,0.0,0.0,0.0,44156820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
59,296.0659617687759,0.55193275,height,,,,,,,,,,,0.0,0.0,0.0,0.0,7410460.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
60,392.7954890244878,0.55107653,height,,,,,,,,,,,4394628.0,4393263.0,4357427.0,4483403.0,1630202.8,3231014.0,3477915.5,3989575.8,3790353.2,4011935.2,4107222.8,3820743.2,3313053.5,4111803.2,4359197.0,4029116.5,4188389.5,4000140.0,3663635.8,3254447.5,3600558.0,3361075.5,3902692.0,0.0,
61,264.8524725833098,0.5539326,height,,,,,,,,,,,4139010.8,3912715.8,3669410.0,4112274.5,1670627.1,2826273.8,3163066.2,3339077.2,3451024.8,3785894.8,3522566.5,3325208.8,2964152.0,3336310.5,3676549.2,3409894.5,3837528.5,3507828.0,3252734.2,2908900.5,3113592.0,3030027.8,3240602.5,0.0,
62,266.8495071095466,0.5552273,height,,,,,,,,,,,4005661.2,3675748.0,3651382.5,3960289.0,1702240.1,2904515.5,3021748.5,3273476.8,3534628.5,3695146.5,3336629.0,3139986.0,2828423.2,3248824.0,3501848.2,3515467.0,3801511.5,3355886.8,3192043.5,2761744.8,3081421.5,2979199.5,3089346.8,0.0,
63,382.7667760851822,0.5591856,height,,,,,,,,,,,3637953.0,3733125.5,3569512.8,3872602.8,957557.25,2476126.2,2889632.8,2925481.0,2882567.2,3402177.2,3417180.5,2732541.8,2610345.0,2540718.2,2643045.5,2477272.8,2580421.5,2509814.8,2359940.5,2506922.2,2758044.8,2730567.2,3113141.8,0.0,
64,292.19784221802763,0.56170434,height,,,,,,,,,,,0.0,0.0,0.0,0.0,19884838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12090716.0,13914919.0,14308224.0,13346941.0,13969624.0,13500598.0,0.0,0.0,0.0,0.0,0.0,
65,164.93001168001598,0.56502587,height,,,,,,,,,,,8280387.0,7810848.5,8612450.0,8289002.5,7633966.0,10023061.0,10036624.0,10367041.0,10524131.0,10288610.0,10504526.0,10143099.0,10463559.0,11079315.0,12435878.0,13633832.0,12821876.0,13076897.0,11749387.0,9675368.0,9498345.0,10188418.0,9953215.0,0.0,
66,198.86218659604603,0.57201105,height,,,,,,,,,,,4214224.5,4247190.0,4653561.0,4964760.0,1659938.9,3504531.2,3949592.8,3831936.5,3765061.2,3938634.8,4233211.0,3827313.0,3827001.2,2694032.0,2812184.8,2829953.5,2833028.5,2808748.5,2486751.0,3514486.8,3662280.5,3979891.0,3649025.8,0.0,
67,196.8651559709163,0.5720372,height,,,,,,,,,,,4354703.5,4393656.0,4833705.0,5071732.0,1661983.6,3581951.0,4014725.8,3865576.0,3824751.2,4061505.8,4303273.5,3899591.5,3827725.2,2733783.5,2915063.5,2921608.8,2874735.0,2838926.2,2655960.2,3643329.0,3679166.8,4115286.2,3736103.2,0.0,
68,257.14708557133,0.5519475,height,,,,,,,,,,,6056968.5,5780435.5,0.0,3294680.0,0.0,3828630.5,5018876.0,6723526.0,5096488.5,3291926.5,3156970.5,4599387.5,4131258.2,15427148.0,19107918.0,19490154.0,17798702.0,17930866.0,15837358.0,5065327.5,5822989.0,6058354.0,5907245.5,0.0,
69,254.82375115395925,0.5760857,height,,,,,,,,,,,6994805.5,7144674.5,8366035.0,8778515.0,2454029.8,5968375.0,6764787.5,6571851.0,6293735.5,6488654.5,6977651.0,6674436.0,6667991.5,3520329.0,3849189.2,4064063.2,4016188.2,3725049.8,3668770.2,6121232.0,6311931.0,6826696.0,6166903.5,0.0,
70,256.82077127348543,0.5765112,height,,,,,,,,,,,9225313.0,9596356.0,10971258.0,11393938.0,3199425.5,7765876.5,8721830.0,8622415.0,7930593.5,8523576.0,9123356.0,8887696.0,8687952.0,4946979.0,5045707.0,5162566.5,4975124.5,4748042.5,4442716.0,8085741.5,8067428.5,8870760.0,8088881.0,0.0,
71,258.8178279844113,0.5784433,height,,,,,,,,,,,4458610.0,4614009.5,5311274.5,5570569.0,1496044.8,3724359.2,4370976.5,4163431.5,3969595.8,4091768.0,4500053.5,4252675.0,4375324.0,2424118.5,2507079.0,2501611.5,2417901.0,2270879.2,2195194.2,3893866.8,3974089.2,4323899.5,4072164.8,0.0,
72,271.96484059771865,0.5831586,height,,,,,,,,,,,0.0,0.0,0.0,0.0,5349251.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1142023.1,1037612.25,1053325.5,1095294.0,1036271.06,999107.8,0.0,0.0,0.0,0.0,0.0,
73,381.0793532456137,0.58053184,height,,,,,,,,,,,971303.4,1036522.9,961362.75,1115005.2,2069079.6,1872705.6,1908868.4,1849210.8,0.0,1898367.6,2064025.2,1967422.4,1998717.4,3348146.8,3412110.8,3316544.8,3398284.2,3261743.5,3089907.8,1847652.1,1773967.8,2228793.5,1951636.8,0.0,
74,164.02942322599196,0.583952,height,,,,,,,,,,,5727169.5,2633938.0,2406994.8,1336164.1,6320659.5,10656546.0,11003510.0,10461904.0,10785733.0,9983708.0,10485284.0,10140708.0,10675494.0,10941049.0,11193290.0,11725434.0,11027907.0,10989002.0,9970596.0,10461327.0,10321225.0,11231898.0,10259570.0,0.0,
75,314.7792814078909,0.58602744,height,,,,,,,,,,,3894160.0,4011117.5,4641840.5,4720389.5,1188686.8,3180891.0,3650977.8,3440593.5,3168576.0,3470718.0,3669879.5,3606955.2,3710429.5,1574941.5,1494843.9,1704288.6,1750077.4,1665958.0,1464030.8,3237432.5,3054596.0,3645569.0,3453525.5,0.0,
76,430.69669606813886,0.5885492,height,,,,,,,,,,,4411794.5,4345957.0,5301729.0,5144843.5,1173941.0,3430975.8,3771237.5,3818414.0,3290133.0,3831446.2,3847109.8,3794242.0,4011715.0,1530852.0,1348835.6,1431288.9,1343714.8,1449128.5,1192903.4,3504723.5,3412383.5,3859741.5,3632275.8,0.0,
77,432.6937439146542,0.58852637,height,,,,,,,,,,,4304591.0,4086402.5,4983161.5,5026740.0,1158594.2,3371765.8,3696731.2,3577816.8,3150406.8,3632183.5,3793693.5,3590116.5,3921551.8,1361102.8,1394343.9,1359246.9,1332814.1,1396395.8,1181025.0,3417204.5,3397125.8,3767385.8,3423577.5,0.0,
78,374.7350623307906,0.5877229,height,,,,,,,,,,,3872971.0,3886828.8,4576327.0,4452553.5,930642.0,3032696.8,3421103.5,3294565.0,3049132.5,3401979.8,3464624.5,3488493.2,3606673.5,1331455.5,1263620.4,1279707.9,1368810.0,1589165.9,1170370.0,3123799.8,2996923.8,3299078.0,3175812.5,0.0,
79,177.0245180887142,0.58911794,height,,,,,,,,,,,0.0,0.0,0.0,0.0,5548492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
