row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20260428_CVOL_Group_02_1F12_1.mzML Peak height,20260428_CVOL_Group_02_1F12_2.mzML Peak height,20260428_CVOL_Group_02_1F12_3.mzML Peak height,20260428_CVOL_Group_02_1F12_4.mzML Peak height,20260428_CVOL_Group_02_Control_LB.mzML Peak height,20260428_CVOL_Group_02_Delta_phzC_1.mzML Peak height,20260428_CVOL_Group_02_Delta_phzC_2.mzML Peak height,20260428_CVOL_Group_02_Delta_phzC_3.mzML Peak height,20260428_CVOL_Group_02_Delta_phzC_4.mzML Peak height,20260428_CVOL_Group_02_Delta_pvdE_1.mzML Peak height,20260428_CVOL_Group_02_Delta_pvdE_2.mzML Peak height,20260428_CVOL_Group_02_Delta_pvdE_3.mzML Peak height,20260428_CVOL_Group_02_Delta_pvdE_4.mzML Peak height,20260428_CVOL_Group_02_QC_01.mzML Peak height,20260428_CVOL_Group_02_QC_02.mzML Peak height,20260428_CVOL_Group_02_QC_03.mzML Peak height,20260428_CVOL_Group_02_QC_04.mzML Peak height,20260428_CVOL_Group_02_QC_05.mzML Peak height,20260428_CVOL_Group_02_QC_06.mzML Peak height,20260428_CVOL_Group_02_R47_1.mzML Peak height,20260428_CVOL_Group_02_R47_2.mzML Peak height,20260428_CVOL_Group_02_R47_3.mzML Peak height,20260428_CVOL_Group_02_R47_4.mzML Peak height,20260428_CVOL_bk_mapp_pre_01.mzML Peak height,
43,252.23222581349162,0.58049494,,,,,,,,,,,3.0496486E7,1.2847565E7,2.0331904E7,1.2616251E7,3727470.2,2.0970148E7,1.156752E7,9889226.0,8598811.0,1.3480963E7,1.7361418E7,1.5943698E7,2.513763E7,1.4144009E7,1.3957627E7,1.2243763E7,1.2413263E7,1.4479829E7,1.6551977E7,1.1601091E7,7677432.5,6298711.5,1.0337924E7,0,
44,123.08065445763445,0.58246243,,,,,,,,,,,1484342.1,1966952.2,1608151.9,1972938.6,1038958.25,1510307.8,1752240.4,1860398.6,1582589.1,0,1186128.6,0,1299803.0,1422323.9,1358637.8,1292277.4,0,1566082.0,1808918.9,1287759.6,1355571.6,0,1476444.4,0,
45,295.2463164464094,0.5897424,,,,,,,,,,,5656408.5,3920570.8,6622235.5,6139327.0,0,3048892.5,3310015.5,2913546.8,2980653.8,2875500.8,0,4561700.0,6169701.5,3621532.5,3503289.8,3257095.5,2825087.8,4130236.5,4137037.2,2126777.8,0,2010782.1,2371694.8,0,
46,334.2352478823613,0.5821381,,,,,,,,,,,6761850.5,4853408.5,8108538.0,6546849.5,0,5148581.5,5289543.5,5306668.5,4703485.5,5142826.5,5124482.5,6385909.5,8599209.0,5302359.0,5589275.5,4331229.5,4405850.0,5869612.5,6711766.5,4118517.5,3826967.0,4116804.2,5757055.5,0,
47,286.23773581902105,0.58571625,,,,,,,,,,,3177329.8,3555869.5,3797346.5,3477398.0,3866520.8,3308656.2,3269207.8,3645163.2,3062389.0,2092938.8,2540296.0,2215000.8,2702561.8,2980178.0,2822445.2,2460529.5,2317227.0,3206887.5,3198731.2,1872112.9,2954752.5,2394370.0,2578585.2,0,
48,312.2532283666196,0.5852927,,,,,,,,,,,1.4357374E7,9691403.0,1.7125432E7,1.917108E7,0,8297920.5,7791994.5,6775148.0,7038903.0,6819173.0,9416456.0,1.0442498E7,1.3967328E7,8916147.0,8908060.0,8197132.5,7380397.0,9827820.0,1.0298898E7,5502292.5,4940589.0,5649939.0,7692001.0,0,
49,193.05289327171403,0.58872354,,,,,,,,,,,0,0,0,0,0,1.5704046E7,3.3450488E7,4.45519E7,1778932.5,4.5427852E7,4.4073804E7,2.4425878E7,3.392999E7,2.0536924E7,1.926238E7,1.769801E7,1.6550191E7,2.0699284E7,2.1744334E7,1.7288734E7,3.01315E7,3.2875152E7,3.5317784E7,0,
50,292.22702869831664,0.5882922,,,,,,,,,,,1.8573062E7,9293098.0,1.6433618E7,1.385598E7,0,1.4962082E7,8284118.5,4884001.5,7012974.5,9413867.0,1.2888252E7,1.237014E7,1.8154708E7,1.0593416E7,1.0164378E7,9377007.0,8101326.5,1.1410579E7,1.2548995E7,7720729.0,3993160.0,4221641.0,5834387.5,0,
51,279.25132445845554,0.5817691,,,,,,,,,,,4134489.2,2105327.8,3515354.5,3479250.0,1440157.1,3256547.2,2281306.5,2341508.0,2262768.5,2684339.2,2897005.8,3053030.2,4500176.0,2381603.2,2361240.2,2073679.2,2357490.0,2527695.2,2630430.0,2164543.2,1826535.9,1867321.6,2268463.0,0,
52,294.2428973669563,0.5886426,,,,,,,,,,,2.915494E7,2.0199538E7,3.3088568E7,3.1843786E7,1416210.5,1.5794567E7,1.415181E7,1.2160283E7,1.4488111E7,1.4447594E7,1.8391788E7,2.0912062E7,2.8271874E7,1.7468982E7,1.7339626E7,1.6258029E7,1.4245571E7,2.0394154E7,2.101233E7,1.1530573E7,9835401.0,1.0569077E7,1.4322511E7,0,
53,336.2510436785586,0.5888177,,,,,,,,,,,6240217.0,7724240.5,1.0073398E7,1.0716889E7,0,5183887.0,6466496.5,6518864.5,6453369.0,5641792.0,5766610.0,6694354.0,7934176.0,6108294.5,5863662.5,5346332.5,4872736.0,7279848.0,7596127.5,4982405.0,4989990.5,5541614.0,7117316.5,0,
54,258.20643018902683,0.5919734,,,,,,,,,,,2014735.4,2488678.5,2304541.8,1965407.6,2931651.2,2529005.0,2417565.5,2308324.2,2663053.5,1619101.4,1665338.0,1384113.5,1494310.0,2064402.5,1923900.5,1777582.2,1651418.4,2424631.2,2221740.2,1672921.1,2006955.9,1959528.6,1964565.4,0,
55,339.25301290053443,0.5896023,,,,,,,,,,,0,1334910.5,0,0,0,3.9032296E7,4.3206452E7,3.8665868E7,4.7988788E7,2.7182044E7,2.4493794E7,2.395243E7,2.2979932E7,2.1037442E7,2.0954672E7,1.9427204E7,1.7154184E7,2.6167866E7,2.690309E7,1.7763204E7,3.1730832E7,2.8526218E7,2.8998914E7,0,
56,157.0761429161077,0.59039307,,,,,,,,,,,0,0,0,0,0,3226475.5,6882927.0,8717515.0,0,9747525.0,8963596.0,5412914.5,7915997.5,3740857.0,3934805.2,3560709.5,3461001.5,4378590.5,4688957.5,4519454.5,6152324.5,6528827.5,7639803.0,0,
57,276.2323767498379,0.59148383,,,,,,,,,,,5570369.5,3687074.8,6236866.0,4960311.5,1454094.5,4178180.8,3880217.5,3554371.5,3754259.0,2870842.8,3560965.2,4040344.8,4967745.0,3656571.8,3825821.8,3301244.5,3101728.2,4210435.5,4475334.5,3206554.8,2828914.2,2781042.0,3722184.8,0,
58,193.17004716718156,0.59253764,,,,,,,,,,,1371034.5,2175630.8,1592480.1,1758682.8,3273907.2,1606124.8,2443095.0,2612865.0,2437743.2,2790784.5,2667480.8,2203718.2,1992283.4,2137332.8,2125644.0,1997281.4,2013706.2,2173687.5,2452587.8,0,2291452.0,2671219.2,2672837.0,0,
59,321.24241880900377,0.5903348,,,,,,,,,,,0,0,0,0,0,3964377.8,4583832.5,3896377.8,5421927.0,3192803.5,2459400.8,2394929.5,2730835.8,1999487.5,2263204.2,2025837.9,1791253.1,2535843.5,2772185.0,2037893.6,2972963.2,2839932.2,3102413.2,0,
60,145.07608810262633,0.5944305,,,,,,,,,,,2118935.2,2134964.2,2413933.5,2074898.4,1489874.1,2328747.8,2214629.0,2105625.2,2466466.5,4434359.0,4019831.2,4228248.5,3777468.0,2786262.8,2762921.0,2469653.5,2316652.2,3056309.5,3198070.2,3142986.5,3687672.5,3856579.8,4189592.0,0,
61,211.14423650135794,0.5976379,,,,,,,,,,,1.4872083E8,1.4866926E8,1.5455797E8,1.3282311E8,1.5369283E8,1.393421E8,1.3128283E8,1.528066E8,1.623974E8,1.3416945E8,1.3144626E8,1.1681897E8,1.08077864E8,1.31898536E8,1.3069201E8,1.199037E8,1.3350097E8,1.757125E8,1.602264E8,1.2819694E8,1.5313331E8,1.523187E8,1.1934151E8,0,
62,320.22191251928945,0.59769475,,,,,,,,,,,2396535.5,3343476.5,2039648.6,2080457.6,9394900.0,4742150.5,4910164.5,4506132.5,5973074.5,3827044.8,3867781.8,2998170.0,2817253.5,3414955.2,3505767.0,3170770.8,2841959.8,4307541.5,4430517.5,2671486.8,3814198.5,3366825.8,3890938.5,0,
63,310.2376333306235,0.5985012,,,,,,,,,,,1.2385934E7,7578004.0,1.4282763E7,1.5002199E7,0,7649513.5,7017735.5,5333928.0,6988015.5,6046531.5,9064032.0,9013005.0,1.1521106E7,7888989.5,8191406.5,8154758.0,7462173.0,9095479.0,9747731.0,5614405.0,4435417.0,4925163.0,6028251.0,0,
64,327.1914244411427,0.60290253,,,,,,,,,,,2774762.5,3795410.2,3348625.8,2977212.0,4283107.5,3202047.2,3284314.2,3345355.2,4207564.0,3089933.0,2820936.5,2147013.0,2310003.2,2773753.5,3120764.0,3192804.0,2593071.2,3499790.0,3653193.0,2196987.8,2933745.0,2310206.8,2614826.5,0,
65,316.28456899242497,0.60439116,,,,,,,,,,,7775694.0,4985890.5,8357011.5,9245781.0,0,4876954.5,4739033.5,3881577.2,4986961.5,5137833.0,6805687.0,6317864.0,7578693.0,5342450.0,5772115.0,5249984.5,4681653.5,5817366.5,6319499.0,4965253.5,3359766.5,4047494.2,4051715.5,0,
66,226.06953278158574,0.56157804,,,,,,,,,,,0,0,0,0,0,6478971.0,7790821.5,1.1540839E7,1.010938E7,1.4366595E8,1.4234653E8,1.7192254E8,1.31096136E8,3797310.8,8.8820584E7,1.03157896E8,8.678136E7,8.823652E7,8.377973E7,1.2825995E8,1.4377304E8,1.3996858E8,1.3034166E8,0,
67,311.22181430947876,0.60621226,,,,,,,,,,,0,0,0,0,0,6520785.5,7010816.5,7744923.0,1.1193835E7,6045461.5,6829156.0,4971536.0,5436049.0,3897276.5,4366030.0,4499624.0,4102979.0,5311379.0,5101586.0,4267545.0,6221477.0,5651364.5,4663994.5,0,
68,159.09177926671617,0.6071657,,,,,,,,,,,1526738.4,2960988.8,4509463.5,4174488.5,0,3646922.8,1.5113523E7,3.6881656E7,0,2.4777268E7,2.360796E7,1915582.8,2.4402126E7,1.13116E7,1.2190111E7,1.1268781E7,1.0921276E7,1.2325661E7,1.2532836E7,1.2683337E7,1.937142E7,2.1163582E7,2.1237202E7,0,
69,292.1908885353754,0.61339587,,,,,,,,,,,3509686.5,4261894.5,4167725.2,3184270.2,5595896.0,3849398.0,3983163.0,4627100.5,5363716.0,3926077.8,3812895.5,2878742.2,2995967.5,3326910.8,3830057.0,3674519.5,3480778.0,3746511.5,3509972.2,3684876.0,3831775.0,3472516.0,3298933.0,0,
70,226.14355445684797,0.61615884,,,,,,,,,,,7935415.0,3371593.5,8753446.0,8880598.0,0,4456377.0,4871180.5,4110251.0,4417091.5,2958102.0,4701310.5,5609973.5,7639242.0,4224606.5,5080017.0,4892814.0,4856279.5,4457733.0,5324416.0,3926651.8,2779462.8,3310373.5,3234770.5,0,
71,308.22182123797444,0.6190133,,,,,,,,,,,5241348.0,2731148.2,5697084.0,6836301.5,0,3079570.2,2668623.5,2260183.2,2758417.8,2485002.0,3636157.2,3769536.5,4702640.0,3170639.8,3465460.8,3671093.0,3238943.5,3435064.8,3490137.0,2238033.8,1820946.2,2229536.8,2484907.0,0,
72,328.2482377687298,0.62168485,,,,,,,,,,,6711338.5,3256917.5,7672253.0,9274727.0,0,4207479.0,3971824.2,3221846.0,3936378.2,3169906.0,5271687.5,5462076.0,7124051.0,4430435.0,4896155.5,5292826.0,4920636.5,4718869.0,4991889.5,3892218.2,2811280.2,3089242.8,3539324.2,0,
73,557.2976088995839,0.62894964,,,,,,,,,,,3746316.8,3859959.0,3405227.2,3191914.2,4392439.5,1.0458068E7,8268792.0,8833205.0,1.2502203E7,1.0135189E7,1.0051449E7,8174008.0,7769512.5,9600144.0,7519275.0,1.0191076E7,8382254.0,9821234.0,8685204.0,6678295.5,8906504.0,8631050.0,9941523.0,0,
74,410.2288335221045,0.6301746,,,,,,,,,,,3950838.2,4059729.2,3793936.5,4100223.0,5572624.0,3915769.2,2976855.2,3027295.0,3521734.5,3432186.5,3497548.5,2693637.8,2813804.2,3548518.5,3061828.8,4266765.0,3577213.8,4020146.2,3508835.8,2851533.5,3443849.2,3093401.8,3774188.5,0,
75,531.2795706346707,0.63187057,,,,,,,,,,,2909294.0,3243067.8,2648506.0,3126239.8,6116214.0,3819457.5,3035550.8,3102460.2,3711495.5,3121754.8,2904020.5,2210480.5,2346218.8,3063855.8,2862144.0,3457669.5,3122599.0,3347181.2,3015110.0,2459569.5,3253107.5,3407384.2,3674060.2,0,
76,268.1656839967432,0.63331836,,,,,,,,,,,7069424.5,5996813.0,4655957.0,5091187.0,0,5558750.5,4759455.0,4454635.5,4339197.0,3877246.0,3568031.8,2809878.8,3501706.8,4377324.0,3848044.0,4975979.0,4452607.0,4828194.0,4300333.0,4880600.5,5115244.5,4334630.0,5818672.0,0,
77,509.2974966696933,0.6334695,,,,,,,,,,,1.2450064E7,1.2114773E7,1.0853174E7,1.2993306E7,1.9471816E7,1.3535683E7,1.0423268E7,9626413.0,1.2218525E7,1.0662563E7,1.1014317E7,8959350.0,8930694.0,1.2136061E7,1.0602012E7,1.2607944E7,1.1210858E7,1.2119841E7,1.092661E7,9552101.0,1.0494951E7,1.0720891E7,1.2620345E7,0,
78,197.1284513300349,0.6371329,,,,,,,,,,,7.349013E7,7.765166E7,7.815847E7,9.316073E7,8.855664E7,8.149918E7,7.574874E7,8.078238E7,8.045026E7,8.1526344E7,7.664291E7,6.2802824E7,6.219966E7,7.295768E7,7.024731E7,8.5883976E7,7.909604E7,6.920585E7,7.115451E7,7.089536E7,7.985237E7,7.157336E7,7.4361864E7,0,
