row ID,row m/z,row retention time,intensity_measure,ion_mobility,ion_mobility_unit,ccs,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20260428_CVOL_Group_02_1F12_1.mzML Peak area,20260428_CVOL_Group_02_1F12_2.mzML Peak area,20260428_CVOL_Group_02_1F12_3.mzML Peak area,20260428_CVOL_Group_02_1F12_4.mzML Peak area,20260428_CVOL_Group_02_Control_LB.mzML Peak area,20260428_CVOL_Group_02_Delta_phzC_1.mzML Peak area,20260428_CVOL_Group_02_Delta_phzC_2.mzML Peak area,20260428_CVOL_Group_02_Delta_phzC_3.mzML Peak area,20260428_CVOL_Group_02_Delta_phzC_4.mzML Peak area,20260428_CVOL_Group_02_Delta_pvdE_1.mzML Peak area,20260428_CVOL_Group_02_Delta_pvdE_2.mzML Peak area,20260428_CVOL_Group_02_Delta_pvdE_3.mzML Peak area,20260428_CVOL_Group_02_Delta_pvdE_4.mzML Peak area,20260428_CVOL_Group_02_QC_01.mzML Peak area,20260428_CVOL_Group_02_QC_02.mzML Peak area,20260428_CVOL_Group_02_QC_03.mzML Peak area,20260428_CVOL_Group_02_QC_04.mzML Peak area,20260428_CVOL_Group_02_QC_05.mzML Peak area,20260428_CVOL_Group_02_QC_06.mzML Peak area,20260428_CVOL_Group_02_R47_1.mzML Peak area,20260428_CVOL_Group_02_R47_2.mzML Peak area,20260428_CVOL_Group_02_R47_3.mzML Peak area,20260428_CVOL_Group_02_R47_4.mzML Peak area,20260428_CVOL_bk_mapp_pre_01.mzML Peak area,Unnamed: 37
22,281.26680885383814,0.5643288,height,,,,,,,,,,,31430966.0,11616974.0,13930862.0,9943994.0,5861589.5,11463095.0,6849332.5,6403347.5,6522301.5,20761668.0,22775348.0,20865324.0,28616064.0,14044486.0,11795828.0,14401212.0,12740558.0,11360554.0,11893024.0,6891285.0,5271832.0,6055473.5,5836878.0,0.0,
23,254.24780304893247,0.57599163,height,,,,,,,,,,,3066869.8,0.0,1675834.6,1631642.0,0.0,2065955.4,0.0,0.0,0.0,0.0,1507368.8,1435936.2,2092669.6,1318626.0,1330630.4,0.0,1033656.9,1273452.5,1280377.9,0.0,0.0,0.0,0.0,0.0,
24,241.0607368251791,0.5626819,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1301164.2,1591888.8,1906614.0,1824558.0,11378056.0,9217297.0,14255966.0,10189971.0,5128948.0,4895599.0,5466743.5,5146623.5,5955445.0,6801893.0,7931957.0,10197167.0,8364053.0,9678042.0,0.0,
25,158.06014063377626,0.56424385,height,,,,,,,,,,,0.0,0.0,0.0,0.0,19332288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
26,227.01329093747825,0.56327355,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,3379179.5,3542602.5,4135520.2,0.0,3467003.8,3225115.0,2966568.2,2893533.0,1887299.1,1550933.9,1567024.9,1513522.2,1360805.9,1482758.2,0.0,1549505.2,2521873.8,2190171.0,0.0,
27,263.2369921047413,0.56488895,height,,,,,,,,,,,17310962.0,5975212.0,8318755.0,6283982.0,2849004.0,6282996.5,3930613.2,3445867.8,3309308.0,9790946.0,11363660.0,11129009.0,14390583.0,8149709.0,6111278.5,6862426.5,6679174.0,6164458.5,6156896.0,3229212.0,2562206.5,3039412.5,3420312.8,0.0,
28,280.2635229159522,0.565328,height,,,,,,,,,,,154433840.0,56379980.0,71944440.0,50111090.0,26763870.0,57061810.0,34808000.0,31105184.0,30279980.0,88773870.0,108436230.0,106415770.0,129949220.0,72348810.0,56853936.0,62413360.0,60336340.0,53298664.0,56778470.0,33809684.0,22699094.0,26648488.0,30035908.0,0.0,
29,245.2264151480119,0.5647267,height,,,,,,,,,,,4395452.5,1746189.0,2101486.0,1573494.9,0.0,1791050.5,0.0,0.0,0.0,2500974.2,2744988.0,2439939.5,3405288.0,2106605.0,1482757.1,1625228.6,1698371.6,1515014.0,1722969.5,0.0,0.0,0.0,0.0,0.0,
30,297.2617732839644,0.5792371,height,,,,,,,,,,,18753412.0,13085162.0,14187991.0,18919240.0,0.0,4215407.0,5422003.5,4719184.5,5832276.5,5135874.5,12415862.0,13231618.0,14880072.0,7357635.5,6566941.5,6216432.0,5832596.5,7210989.5,7646382.0,4012350.2,3675102.0,4210172.0,4400209.0,0.0,
31,266.24782097332815,0.57395625,height,,,,,,,,,,,4177233.0,1562810.2,2235017.2,1664809.4,0.0,2397915.0,1563886.0,0.0,0.0,2142069.0,2571755.5,2390848.5,3540031.0,1850075.8,1913395.4,1549975.1,1643606.5,1717911.8,2029834.6,1352140.9,0.0,0.0,0.0,0.0,
32,254.17502064359127,0.5726294,height,,,,,,,,,,,2268177.0,2705970.5,2589345.5,3184742.8,1945748.5,2352928.2,2752879.5,3118650.0,2758964.5,2144258.0,1842329.2,0.0,2305566.5,2385742.2,2021825.2,2042068.1,2038841.8,2118349.5,2446715.8,2157126.8,2136617.8,1676252.6,2250267.5,0.0,
33,205.17014745597876,0.5747751,height,,,,,,,,,,,0.0,0.0,0.0,0.0,2622798.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
34,278.2480206887413,0.5750274,height,,,,,,,,,,,22127688.0,10687897.0,16355352.0,15733973.0,6952692.5,15228819.0,11130150.0,10490967.0,10252843.0,11266942.0,14371291.0,13888410.0,19193848.0,13010678.0,11298962.0,11157892.0,10809309.0,12107993.0,12703812.0,10650968.0,8215172.5,8345621.0,11022881.0,0.0,
35,415.21160513605247,0.57513523,height,,,,,,,,,,,11191075.0,8955542.0,8882908.0,12905607.0,5567039.0,8355051.5,7720825.5,9687432.0,7217178.0,7197995.0,5243897.5,6056397.5,8468871.0,8682495.0,8362867.5,7485874.0,7716956.0,9600707.0,11144222.0,8050296.5,6549634.5,6247886.5,8805749.0,0.0,
36,298.2738621643734,0.57555634,height,,,,,,,,,,,11358696.0,42522684.0,62061024.0,59813276.0,0.0,7085647.0,6703159.0,5872155.5,7990462.0,38424436.0,10381170.0,9724808.0,13157396.0,20355426.0,18010772.0,17809594.0,17695210.0,14167393.0,14470809.0,7539118.5,4774475.0,5848049.5,6327561.0,0.0,
37,235.20566360386897,0.5789523,height,,,,,,,,,,,4459904.5,2062316.1,3106357.0,2033658.1,0.0,2545320.0,1581694.0,0.0,1236688.9,2044616.2,2530436.0,2315234.5,3511591.2,2173125.5,1958654.2,1838563.5,1970230.8,2146941.5,2206767.5,1860394.1,0.0,0.0,1326213.0,0.0,
38,296.2584365944408,0.57630545,height,,,,,,,,,,,88824056.0,65569476.0,71061050.0,98730340.0,4286551.0,20064342.0,23884740.0,20688672.0,26870708.0,26369128.0,55869290.0,65564860.0,71068800.0,37397748.0,32637072.0,32482486.0,31317342.0,34526250.0,36001156.0,18742834.0,17353440.0,19841356.0,23610944.0,0.0,
39,279.23208863747175,0.578622,height,,,,,,,,,,,6565085.5,5514362.5,6567740.5,9448831.0,0.0,2050090.9,2447778.5,2168371.8,2847650.0,2463788.5,4285467.0,5062004.5,5873214.5,3776536.2,3557389.5,2948723.8,3086157.2,3439275.8,3583960.5,2148834.2,0.0,2059446.8,2241869.0,0.0,
40,268.22714709400515,0.5782163,height,,,,,,,,,,,13236357.0,6506151.5,7464150.0,10075387.0,0.0,7013636.0,2949419.8,2193301.0,2724673.8,2815105.8,7825634.5,7694693.5,9597005.0,4528797.5,4090215.5,4100580.2,3999354.0,4608550.0,4695099.5,2190715.2,1877887.4,2008165.0,2199048.0,0.0,
41,241.12220693090543,0.5800458,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,2285432.2,2298216.5,2189056.2,3105724.0,1715903.4,1389857.2,1716753.5,1520219.2,1415300.6,1354030.9,1004617.5,1322310.6,1635930.4,1512018.6,0.0,1704430.5,1136229.8,1771997.6,0.0,
42,314.2688745765514,0.5799247,height,,,,,,,,,,,13238882.0,13895743.0,17108612.0,22655002.0,0.0,7748511.0,8192436.0,7135590.5,6128257.0,7276870.0,9156559.0,10032316.0,13531034.0,9270958.0,9170399.0,7871546.5,7781191.0,9439229.0,10231878.0,5819844.5,4458359.5,5844586.0,6652071.0,0.0,
43,252.2322258134916,0.58049494,height,,,,,,,,,,,30496486.0,12847565.0,20331904.0,12616251.0,3727470.2,20970148.0,11567520.0,9889226.0,8598811.0,13480963.0,17361418.0,15943698.0,25137630.0,14144009.0,13957627.0,12243763.0,12413263.0,14479829.0,16551977.0,11601091.0,7677432.5,6298711.5,10337924.0,0.0,
44,123.08065445763444,0.58246243,height,,,,,,,,,,,1484342.1,1966952.2,1608151.9,1972938.6,1038958.25,1510307.8,1752240.4,1860398.6,1582589.1,0.0,1186128.6,0.0,1299803.0,1422323.9,1358637.8,1292277.4,0.0,1566082.0,1808918.9,1287759.6,1355571.6,0.0,1476444.4,0.0,
45,295.2463164464094,0.5897424,height,,,,,,,,,,,5656408.5,3920570.8,6622235.5,6139327.0,0.0,3048892.5,3310015.5,2913546.8,2980653.8,2875500.8,0.0,4561700.0,6169701.5,3621532.5,3503289.8,3257095.5,2825087.8,4130236.5,4137037.2,2126777.8,0.0,2010782.1,2371694.8,0.0,
46,334.2352478823613,0.5821381,height,,,,,,,,,,,6761850.5,4853408.5,8108538.0,6546849.5,0.0,5148581.5,5289543.5,5306668.5,4703485.5,5142826.5,5124482.5,6385909.5,8599209.0,5302359.0,5589275.5,4331229.5,4405850.0,5869612.5,6711766.5,4118517.5,3826967.0,4116804.2,5757055.5,0.0,
47,286.23773581902105,0.58571625,height,,,,,,,,,,,3177329.8,3555869.5,3797346.5,3477398.0,3866520.8,3308656.2,3269207.8,3645163.2,3062389.0,2092938.8,2540296.0,2215000.8,2702561.8,2980178.0,2822445.2,2460529.5,2317227.0,3206887.5,3198731.2,1872112.9,2954752.5,2394370.0,2578585.2,0.0,
48,312.2532283666196,0.5852927,height,,,,,,,,,,,14357374.0,9691403.0,17125432.0,19171080.0,0.0,8297920.5,7791994.5,6775148.0,7038903.0,6819173.0,9416456.0,10442498.0,13967328.0,8916147.0,8908060.0,8197132.5,7380397.0,9827820.0,10298898.0,5502292.5,4940589.0,5649939.0,7692001.0,0.0,
49,193.05289327171403,0.58872354,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,15704046.0,33450488.0,44551900.0,1778932.5,45427852.0,44073804.0,24425878.0,33929990.0,20536924.0,19262380.0,17698010.0,16550191.0,20699284.0,21744334.0,17288734.0,30131500.0,32875152.0,35317784.0,0.0,
50,292.22702869831664,0.5882922,height,,,,,,,,,,,18573062.0,9293098.0,16433618.0,13855980.0,0.0,14962082.0,8284118.5,4884001.5,7012974.5,9413867.0,12888252.0,12370140.0,18154708.0,10593416.0,10164378.0,9377007.0,8101326.5,11410579.0,12548995.0,7720729.0,3993160.0,4221641.0,5834387.5,0.0,
51,279.25132445845554,0.5817691,height,,,,,,,,,,,4134489.2,2105327.8,3515354.5,3479250.0,1440157.1,3256547.2,2281306.5,2341508.0,2262768.5,2684339.2,2897005.8,3053030.2,4500176.0,2381603.2,2361240.2,2073679.2,2357490.0,2527695.2,2630430.0,2164543.2,1826535.9,1867321.6,2268463.0,0.0,
52,294.2428973669563,0.5886426,height,,,,,,,,,,,29154940.0,20199538.0,33088568.0,31843786.0,1416210.5,15794567.0,14151810.0,12160283.0,14488111.0,14447594.0,18391788.0,20912062.0,28271874.0,17468982.0,17339626.0,16258029.0,14245571.0,20394154.0,21012330.0,11530573.0,9835401.0,10569077.0,14322511.0,0.0,
53,336.2510436785586,0.5888177,height,,,,,,,,,,,6240217.0,7724240.5,10073398.0,10716889.0,0.0,5183887.0,6466496.5,6518864.5,6453369.0,5641792.0,5766610.0,6694354.0,7934176.0,6108294.5,5863662.5,5346332.5,4872736.0,7279848.0,7596127.5,4982405.0,4989990.5,5541614.0,7117316.5,0.0,
54,258.20643018902683,0.5919734,height,,,,,,,,,,,2014735.4,2488678.5,2304541.8,1965407.6,2931651.2,2529005.0,2417565.5,2308324.2,2663053.5,1619101.4,1665338.0,1384113.5,1494310.0,2064402.5,1923900.5,1777582.2,1651418.4,2424631.2,2221740.2,1672921.1,2006955.9,1959528.6,1964565.4,0.0,
55,339.25301290053443,0.5896023,height,,,,,,,,,,,0.0,1334910.5,0.0,0.0,0.0,39032296.0,43206452.0,38665868.0,47988788.0,27182044.0,24493794.0,23952430.0,22979932.0,21037442.0,20954672.0,19427204.0,17154184.0,26167866.0,26903090.0,17763204.0,31730832.0,28526218.0,28998914.0,0.0,
56,157.0761429161077,0.59039307,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,3226475.5,6882927.0,8717515.0,0.0,9747525.0,8963596.0,5412914.5,7915997.5,3740857.0,3934805.2,3560709.5,3461001.5,4378590.5,4688957.5,4519454.5,6152324.5,6528827.5,7639803.0,0.0,
57,276.2323767498379,0.59148383,height,,,,,,,,,,,5570369.5,3687074.8,6236866.0,4960311.5,1454094.5,4178180.8,3880217.5,3554371.5,3754259.0,2870842.8,3560965.2,4040344.8,4967745.0,3656571.8,3825821.8,3301244.5,3101728.2,4210435.5,4475334.5,3206554.8,2828914.2,2781042.0,3722184.8,0.0,
58,193.1700471671816,0.59253764,height,,,,,,,,,,,1371034.5,2175630.8,1592480.1,1758682.8,3273907.2,1606124.8,2443095.0,2612865.0,2437743.2,2790784.5,2667480.8,2203718.2,1992283.4,2137332.8,2125644.0,1997281.4,2013706.2,2173687.5,2452587.8,0.0,2291452.0,2671219.2,2672837.0,0.0,
59,321.24241880900377,0.5903348,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,3964377.8,4583832.5,3896377.8,5421927.0,3192803.5,2459400.8,2394929.5,2730835.8,1999487.5,2263204.2,2025837.9,1791253.1,2535843.5,2772185.0,2037893.6,2972963.2,2839932.2,3102413.2,0.0,
60,145.07608810262633,0.5944305,height,,,,,,,,,,,2118935.2,2134964.2,2413933.5,2074898.4,1489874.1,2328747.8,2214629.0,2105625.2,2466466.5,4434359.0,4019831.2,4228248.5,3777468.0,2786262.8,2762921.0,2469653.5,2316652.2,3056309.5,3198070.2,3142986.5,3687672.5,3856579.8,4189592.0,0.0,
61,211.14423650135797,0.5976379,height,,,,,,,,,,,148720830.0,148669260.0,154557970.0,132823110.0,153692830.0,139342100.0,131282830.0,152806600.0,162397400.0,134169450.0,131446260.0,116818970.0,108077864.0,131898536.0,130692010.0,119903700.0,133500970.0,175712500.0,160226400.0,128196940.0,153133310.0,152318700.0,119341510.0,0.0,
62,320.22191251928945,0.59769475,height,,,,,,,,,,,2396535.5,3343476.5,2039648.6,2080457.6,9394900.0,4742150.5,4910164.5,4506132.5,5973074.5,3827044.8,3867781.8,2998170.0,2817253.5,3414955.2,3505767.0,3170770.8,2841959.8,4307541.5,4430517.5,2671486.8,3814198.5,3366825.8,3890938.5,0.0,
63,310.2376333306235,0.5985012,height,,,,,,,,,,,12385934.0,7578004.0,14282763.0,15002199.0,0.0,7649513.5,7017735.5,5333928.0,6988015.5,6046531.5,9064032.0,9013005.0,11521106.0,7888989.5,8191406.5,8154758.0,7462173.0,9095479.0,9747731.0,5614405.0,4435417.0,4925163.0,6028251.0,0.0,
64,327.1914244411427,0.60290253,height,,,,,,,,,,,2774762.5,3795410.2,3348625.8,2977212.0,4283107.5,3202047.2,3284314.2,3345355.2,4207564.0,3089933.0,2820936.5,2147013.0,2310003.2,2773753.5,3120764.0,3192804.0,2593071.2,3499790.0,3653193.0,2196987.8,2933745.0,2310206.8,2614826.5,0.0,
65,316.28456899242497,0.60439116,height,,,,,,,,,,,7775694.0,4985890.5,8357011.5,9245781.0,0.0,4876954.5,4739033.5,3881577.2,4986961.5,5137833.0,6805687.0,6317864.0,7578693.0,5342450.0,5772115.0,5249984.5,4681653.5,5817366.5,6319499.0,4965253.5,3359766.5,4047494.2,4051715.5,0.0,
66,226.0695327815857,0.56157804,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,6478971.0,7790821.5,11540839.0,10109380.0,143665950.0,142346530.0,171922540.0,131096136.0,3797310.8,88820584.0,103157896.0,86781360.0,88236520.0,83779730.0,128259950.0,143773040.0,139968580.0,130341660.0,0.0,
67,311.2218143094788,0.60621226,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,6520785.5,7010816.5,7744923.0,11193835.0,6045461.5,6829156.0,4971536.0,5436049.0,3897276.5,4366030.0,4499624.0,4102979.0,5311379.0,5101586.0,4267545.0,6221477.0,5651364.5,4663994.5,0.0,
68,159.09177926671617,0.6071657,height,,,,,,,,,,,1526738.4,2960988.8,4509463.5,4174488.5,0.0,3646922.8,15113523.0,36881656.0,0.0,24777268.0,23607960.0,1915582.8,24402126.0,11311600.0,12190111.0,11268781.0,10921276.0,12325661.0,12532836.0,12683337.0,19371420.0,21163582.0,21237202.0,0.0,
69,292.1908885353754,0.61339587,height,,,,,,,,,,,3509686.5,4261894.5,4167725.2,3184270.2,5595896.0,3849398.0,3983163.0,4627100.5,5363716.0,3926077.8,3812895.5,2878742.2,2995967.5,3326910.8,3830057.0,3674519.5,3480778.0,3746511.5,3509972.2,3684876.0,3831775.0,3472516.0,3298933.0,0.0,
70,226.143554456848,0.61615884,height,,,,,,,,,,,7935415.0,3371593.5,8753446.0,8880598.0,0.0,4456377.0,4871180.5,4110251.0,4417091.5,2958102.0,4701310.5,5609973.5,7639242.0,4224606.5,5080017.0,4892814.0,4856279.5,4457733.0,5324416.0,3926651.8,2779462.8,3310373.5,3234770.5,0.0,
71,308.22182123797444,0.6190133,height,,,,,,,,,,,5241348.0,2731148.2,5697084.0,6836301.5,0.0,3079570.2,2668623.5,2260183.2,2758417.8,2485002.0,3636157.2,3769536.5,4702640.0,3170639.8,3465460.8,3671093.0,3238943.5,3435064.8,3490137.0,2238033.8,1820946.2,2229536.8,2484907.0,0.0,
72,328.2482377687298,0.62168485,height,,,,,,,,,,,6711338.5,3256917.5,7672253.0,9274727.0,0.0,4207479.0,3971824.2,3221846.0,3936378.2,3169906.0,5271687.5,5462076.0,7124051.0,4430435.0,4896155.5,5292826.0,4920636.5,4718869.0,4991889.5,3892218.2,2811280.2,3089242.8,3539324.2,0.0,
73,557.2976088995839,0.62894964,height,,,,,,,,,,,3746316.8,3859959.0,3405227.2,3191914.2,4392439.5,10458068.0,8268792.0,8833205.0,12502203.0,10135189.0,10051449.0,8174008.0,7769512.5,9600144.0,7519275.0,10191076.0,8382254.0,9821234.0,8685204.0,6678295.5,8906504.0,8631050.0,9941523.0,0.0,
74,410.2288335221045,0.6301746,height,,,,,,,,,,,3950838.2,4059729.2,3793936.5,4100223.0,5572624.0,3915769.2,2976855.2,3027295.0,3521734.5,3432186.5,3497548.5,2693637.8,2813804.2,3548518.5,3061828.8,4266765.0,3577213.8,4020146.2,3508835.8,2851533.5,3443849.2,3093401.8,3774188.5,0.0,
75,531.2795706346707,0.63187057,height,,,,,,,,,,,2909294.0,3243067.8,2648506.0,3126239.8,6116214.0,3819457.5,3035550.8,3102460.2,3711495.5,3121754.8,2904020.5,2210480.5,2346218.8,3063855.8,2862144.0,3457669.5,3122599.0,3347181.2,3015110.0,2459569.5,3253107.5,3407384.2,3674060.2,0.0,
76,268.1656839967432,0.63331836,height,,,,,,,,,,,7069424.5,5996813.0,4655957.0,5091187.0,0.0,5558750.5,4759455.0,4454635.5,4339197.0,3877246.0,3568031.8,2809878.8,3501706.8,4377324.0,3848044.0,4975979.0,4452607.0,4828194.0,4300333.0,4880600.5,5115244.5,4334630.0,5818672.0,0.0,
